url,owner,repo,full_name,owner_type,is_organization,owner_name
https://github.com/Project-MONAI/MONAI,Project-MONAI,MONAI,Project-MONAI/MONAI,Organization,True,Project MONAI
https://github.com/openemr/openemr,openemr,openemr,openemr/openemr,Organization,True,OpenEMR
https://github.com/OpenHealthForAll/open-health,OpenHealthForAll,open-health,OpenHealthForAll/open-health,Organization,True,
https://github.com/MIT-LCP/mimic-code,MIT-LCP,mimic-code,MIT-LCP/mimic-code,Organization,True,MIT Laboratory for Computational Physiology
https://github.com/synthetichealth/synthea,synthetichealth,synthea,synthetichealth/synthea,Organization,True,Synthea
https://github.com/stanford-crfm/helm,stanford-crfm,helm,stanford-crfm/helm,Organization,True,Stanford Center for Research on Foundation Models
https://github.com/fastenhealth/fasten-onprem,fastenhealth,fasten-onprem,fastenhealth/fasten-onprem,Organization,True,Fasten Health
https://github.com/hapifhir/hapi-fhir,hapifhir,hapi-fhir,hapifhir/hapi-fhir,Organization,True,HAPI FHIR
https://github.com/medplum/medplum,medplum,medplum,medplum/medplum,Organization,True,Medplum
https://github.com/StanfordBDHG/HealthGPT,StanfordBDHG,HealthGPT,StanfordBDHG/HealthGPT,Organization,True,Stanford Biodesign Digital Health
https://github.com/node-on-fhir/cookbook,node-on-fhir,cookbook,node-on-fhir/cookbook,Organization,True,Node on FHIR
https://github.com/openmrs/openmrs-core,openmrs,openmrs-core,openmrs/openmrs-core,Organization,True,OpenMRS
https://github.com/microsoft/fhir-server,microsoft,fhir-server,microsoft/fhir-server,Organization,True,Microsoft
https://github.com/sunlabuiuc/PyHealth,sunlabuiuc,PyHealth,sunlabuiuc/PyHealth,Organization,True,SunLab
https://github.com/nextgenhealthcare/connect,nextgenhealthcare,connec,nextgenhealthcare/connec,Organization,True,NextGen Healthcare
https://github.com/OHDSI/CommonDataModel,OHDSI,CommonDataModel,OHDSI/CommonDataModel,Organization,True,Observational Health Data Sciences and Informatics
https://github.com/HospitalRun/hospitalrun,HospitalRun,hospitalrun,HospitalRun/hospitalrun,Organization,True,HospitalRun
https://github.com/google/fhir,google,fhir,google/fhir,Organization,True,Google
https://github.com/FirelyTeam/firely-net-sdk,FirelyTeam,firely-net-sdk,FirelyTeam/firely-net-sdk,Organization,True,Firely
https://github.com/ubicomplab/rPPG-Toolbox,ubicomplab,rPPG-Toolbox,ubicomplab/rPPG-Toolbox,Organization,True,UW Ubicomp Lab
https://github.com/google/simhospital,google,simhospital,google/simhospital,Organization,True,Google
https://github.com/smart-on-fhir/client-py,smart-on-fhir,client-py,smart-on-fhir/client-py,Organization,True,SMART on FHIR
https://github.com/HL7/fhir,HL7,fhir,HL7/fhir,Organization,True,Health Level Seven International
https://github.com/metriport/metriport,metriport,metripor,metriport/metripor,Organization,True,Metriport
https://github.com/ncbi-nlp/BioSentVec,ncbi-nlp,BioSentVec,ncbi-nlp/BioSentVec,Organization,True,NLM/NCBI BioNLP Research Group (PI: Zhiyong Lu)
https://github.com/ncbi-nlp/bluebert,ncbi-nlp,blueber,ncbi-nlp/blueber,Organization,True,NLM/NCBI BioNLP Research Group (PI: Zhiyong Lu)
https://github.com/microsoft/InnerEye-DeepLearning,microsoft,InnerEye-DeepLearnin,microsoft/InnerEye-DeepLearnin,Organization,True,Microsoft
https://github.com/re-search/DocProduct,re-search,DocProduc,re-search/DocProduc,Organization,True,re.Search
https://github.com/google/android-fhir,google,android-fhir,google/android-fhir,Organization,True,Google
https://github.com/FudanDISC/DISC-MedLLM,FudanDISC,DISC-MedLLM,FudanDISC/DISC-MedLLM,Organization,True,FudanDISC
https://github.com/informatici/openhospital,informatici,openhospital,informatici/openhospital,Organization,True,Informatici Senza Frontiere
https://github.com/microsoft/dicom-server,microsoft,dicom-server,microsoft/dicom-server,Organization,True,Microsoft
https://github.com/microsoft/FHIR-Converter,microsoft,FHIR-Converter,microsoft/FHIR-Converter,Organization,True,Microsoft
https://github.com/hapifhir/hapi-fhir-jpaserver-starter,hapifhir,hapi-fhir-jpaserver-starter,hapifhir/hapi-fhir-jpaserver-starter,Organization,True,HAPI FHIR
https://github.com/vanderschaarlab/mlforhealthlabpub,vanderschaarlab,mlforhealthlabpub,vanderschaarlab/mlforhealthlabpub,Organization,True,van_der_Schaar \LAB
https://github.com/FHIR/fhir.js,FHIR,fhir.js,FHIR/fhir.js,Organization,True,FHIR
